,inflation,unemployment
2002-04-01,1.5046257662460087,4.8
2002-05-01,2.0067563050809016,4.7
2002-06-01,2.2285044789434703,4.7
2002-07-01,2.4500111867899217,4.7
2002-08-01,2.72012330002623,4.7
2002-09-01,3.097592789430468,4.8
2002-10-01,2.9803530390581314,4.8
2002-11-01,2.1518071628942272,4.9
2002-12-01,1.8764347468486064,4.9
2003-01-01,1.9300295812365544,5.0
2003-02-01,2.0347141330869385,4.8
2003-03-01,2.1918685707646017,4.7
2003-04-01,2.3504771621375355,5.1
2003-05-01,2.0213744784200087,5.1
2003-06-01,1.9100171373419297,5.3
2003-07-01,2.014770030411112,5.3
2003-08-01,2.0060309446674554,5.2
2003-09-01,1.6743572361286556,5.0
2003-10-01,1.7251101669768294,4.9
2003-11-01,2.2666917564291773,5.0
2003-12-01,2.8565671754458903,4.7
2004-01-01,3.1185322826998507,4.6
2004-02-01,2.897198344333145,4.5
2004-03-01,2.515519313719575,4.7
2004-04-01,2.507466659637561,4.6
2004-05-01,3.141062062110681,4.7
2004-06-01,3.557582497327362,4.6
2004-07-01,3.287676800410864,4.2
2004-08-01,2.805158792921709,4.3
2004-09-01,3.007348768392905,4.3
2004-10-01,3.1564956154424544,4.2
2004-11-01,3.306520060862804,4.2
2004-12-01,2.8288947691197213,4.1
2005-01-01,2.5092795905486005,4.0
2005-02-01,3.0210630849103146,4.1
2005-03-01,3.582007658452247,4.0
2005-04-01,4.632840804664583,3.8
2005-05-01,4.258145205596415,3.8
2005-06-01,3.284030365290634,3.7
2005-07-01,3.284030365290634,3.7
2005-08-01,3.940136168198887,3.7
2005-09-01,3.573631929613191,4.0
2005-10-01,3.3608050987300833,3.8
2005-11-01,3.5500685389342412,3.7
2005-12-01,3.900215780326945,3.7
2006-01-01,4.096653750655887,3.6
2006-02-01,4.022664031825426,3.7
2006-03-01,3.851438758632415,3.5
2006-04-01,1.9920977494554684,3.6
2006-05-01,1.3965314248641392,3.6
2006-06-01,1.949574369669965,3.6
2006-07-01,2.49265148818339,3.6
